"AHA_ID","Medicare_Provider_ID","Hospital_Name","System_member","System_ID","System_Name","Admissions_2011","HMA_Member","HMA_System_Name","HCAHPS.Answer.Percent.2011"
"6110510",201306,"Rumford Hospital",NA,NA,NA,1171,NA,NA,70
"6110520",200040,"Henrietta D. Goodall Hospital",NA,NA,NA,2142,NA,NA,72
"6110523",201314,"Redington-Fairview General Hospital",NA,NA,NA,1616,NA,NA,69
"6110555",200039,"MaineGeneral Medical Center-Waterville Campus",NA,NA,NA,11026,NA,NA,71
"6110582",200041,"Inland Hospital","Y","5990555","Eastern Maine Healthcare Systems",1491,NA,NA,76
"6110610",200020,"York Hospital",NA,NA,NA,3721,NA,NA,77
"6120001",300029,"Portsmouth Regional Hospital","Y","5990048","HCA",6798,"Y","HCA Healthcare",71
"6120010",301310,"Androscoggin Valley Hospital",NA,NA,NA,1345,NA,NA,75
"6120030",300001,"Concord Hospital",NA,NA,NA,13004,NA,NA,76
"6120080",300018,"Wentworth-Douglass Hospital",NA,NA,NA,6958,"Y","Partners HealthCare",74
"6120090",300017,"Parkland Medical Center","Y","5990048","HCA",3096,"Y","HCA Healthcare",70
"6120110",300023,"Exeter Hospital",NA,NA,NA,5781,NA,NA,74
"6120130",301306,"Franklin Regional Hospital","Y","5990320","LRGHealthcare",998,NA,NA,70
"6120170",300003,"Dartmouth-Hitchcock Medical Center",NA,NA,NA,19708,"Y","Dartmouth-Hitchcock Medical Center",67
"6120180",300019,"Cheshire Medical Center",NA,NA,NA,4352,NA,NA,70
"6120190",300005,"Lakes Region General Hospital","Y","5990320","LRGHealthcare",4359,NA,NA,65
"6120220",301305,"Alice Peck Day Memorial Hospital",NA,NA,NA,990,NA,NA,71
"6120225",300034,"Catholic Medical Center",NA,NA,NA,9841,NA,NA,75
"6120230",301302,"Littleton Regional Hospital",NA,NA,NA,1584,NA,NA,70
"6120240",300012,"Elliot Hospital",NA,NA,NA,12405,"Y","Elliot Health System",72
"6120290",300020,"Southern New Hampshire Medical Center",NA,NA,NA,8540,NA,NA,67
"6120300",300011,"St. Joseph Hospital","Y","5995885","Covenant Health Systems, Inc.",6490,NA,NA,73
"6120310",301304,"New London Hospital",NA,NA,NA,1113,NA,NA,73
"6120340",301309,"Monadnock Community Hospital",NA,NA,NA,1415,NA,NA,71
"6120350",301311,"Speare Memorial Hospital",NA,NA,NA,1277,NA,NA,72
"6120380",300014,"Frisbie Memorial Hospital",NA,NA,NA,3586,NA,NA,75
"6130001",470003,"Fletcher Allen Health Care",NA,NA,NA,19800,NA,NA,72
"6130015",470001,"Central Vermont Medical Center",NA,NA,NA,3775,NA,NA,72
"6130040",470012,"Southwestern Vermont Medical Center",NA,NA,NA,3933,NA,NA,72
"6130060",470011,"Brattleboro Memorial Hospital",NA,NA,NA,1675,NA,NA,70
"6130120",471307,"Porter Medical Center",NA,NA,NA,1554,NA,NA,69
"6130140",471305,"Copley Hospital",NA,NA,NA,1639,NA,NA,75
"6130150",471304,"North Country Hospital and Health Center",NA,NA,NA,1637,NA,NA,70
"6130200",471301,"Gifford Medical Center",NA,NA,NA,1595,NA,NA,70
"6130210",470005,"Rutland Regional Medical Center",NA,NA,NA,6239,NA,NA,69
"6130212",470024,"Northwestern Medical Center","Y","5990002","QHR",1645,NA,NA,68
"6130225",471303,"Northeastern Vermont Regional Hospital",NA,NA,NA,1505,NA,NA,75
"6130250",471306,"Springfield Hospital",NA,NA,NA,2262,NA,NA,70
"6130255",471300,"Grace Cottage Hospital",NA,NA,NA,526,NA,NA,85
"6130290",471302,"Mt. Ascutney Hospital and Health Center",NA,NA,NA,1156,NA,NA,74
"6140002",220035,"North Shore Medical Center","Y","5991785","Partners HealthCare System, Inc.",19467,"Y","Partners HealthCare",68
"6140005",220175,"MetroWest Medical Center","Y","5990193","Vanguard Health System",14625,"Y","Tenet Healthcare",71
"6140006",220082,"Saints Medical Center",NA,NA,NA,6531,NA,NA,72
"6140007",220111,"Good Samaritan Medical Center","Y","5990141","Steward Health Care System, LLC",11916,NA,NA,68
"6140008",220001,"Health Alliance Hospitals","Y","5990224","UMass Memorial Health Care, Inc.",6949,NA,NA,72
"6140010",220031,"Boston Medical Center",NA,NA,NA,26874,NA,NA,64
"6140011",220070,"Hallmark Health System",NA,NA,NA,14949,NA,NA,71
"6140012",220011,"Cambridge Health Alliance",NA,NA,NA,11582,NA,NA,64
"6140013",220086,"Beth Israel Deaconess Medical Center","Y","227347687ma","CareGroup (MA)",37308,"Y","Beth Israel Deaconess Medical Center",70
"6140016",220074,"Southcoast Hospitals Group",NA,NA,NA,41443,NA,NA,71
"6140017",220033,"Beverly Hospital",NA,NA,NA,16172,NA,NA,69
"6140065",221303,"Athol Memorial Hospital",NA,NA,NA,663,NA,NA,72
"6140080",220008,"Sturdy Memorial Hospital",NA,NA,NA,7262,NA,NA,72
"6140090",220098,"Nashoba Valley Medical Center","Y","5990141","Steward Health Care System, LLC",6120,NA,NA,71
"6140215",220110,"Brigham and Women's Hospital","Y","5991785","Partners HealthCare System, Inc.",46498,"Y","Partners HealthCare",73
"6140255",220017,"Carney Hospital","Y","5990141","Steward Health Care System, LLC",10255,NA,NA,72
"6140310",220119,"Faulkner Hospital","Y","5991785","Partners HealthCare System, Inc.",7573,"Y","Partners HealthCare",75
"6140420",220075,"Massachusetts Eye and Ear Infirmary",NA,NA,NA,1475,"Y","Partners HealthCare",73
"6140430",220071,"Massachusetts General Hospital","Y","5991785","Partners HealthCare System, Inc.",47118,"Y","Partners HealthCare",71
"6140460",220088,"New England Baptist Hospital","Y","227347687ma","CareGroup (MA)",7088,NA,NA,76
"6140465",220116,"Tufts Medical Center",NA,NA,NA,20452,NA,NA,69
"6140620",220036,"St. Elizabeth's Medical Center","Y","5990141","Steward Health Care System, LLC",21207,NA,NA,74
"6140630",220052,"Signature Healthcare Brockton Hospital",NA,NA,NA,13177,NA,NA,70
"6140690",220171,"Lahey Clinic Hospital",NA,NA,NA,22190,NA,NA,70
"6140780",220002,"Mount Auburn Hospital","Y","227347687ma","CareGroup (MA)",11919,NA,NA,71
"6140840",220058,"Clinton Hospital","Y","5990224","UMass Memorial Health Care, Inc.",1311,NA,NA,76
"6140850",220084,"Emerson Hospital",NA,NA,NA,8499,NA,NA,75
"6140900",220020,"Saint Anne's Hospital","Y","5990141","Steward Health Care System, LLC",7262,NA,NA,71
"6140923",220135,"Falmouth Hospital","Y","5990124","Cape Cod Healthcare, Inc.",6171,NA,NA,71
"6140980",220095,"Heywood Hospital",NA,NA,NA,5669,NA,NA,73
"6141010",221302,"Fairview Hospital","Y","5992435","Berkshire Health Systems, Inc.",1092,NA,NA,77
"6141020",220016,"Baystate Franklin Medical Center","Y","5991095","Baystate Health, Inc.",3621,NA,NA,66
"6141080",220174,"Merrimack Valley Hospital","Y","5990141","Steward Health Care System, LLC",8794,NA,NA,74
"6141095",220163,"UMass Memorial Medical Center","Y","5990224","UMass Memorial Health Care, Inc.",42727,NA,NA,64
"6141110",220024,"Holyoke Medical Center",NA,NA,NA,5949,NA,NA,66
"6141130",220012,"Cape Cod Hospital","Y","5990124","Cape Cod Healthcare, Inc.",16096,NA,NA,72
"6141170",220010,"Lawrence General Hospital",NA,NA,NA,10258,NA,NA,67
"6141200",220063,"Lowell General Hospital",NA,NA,NA,14163,NA,NA,68
"6141300",220049,"UMass Memorial-Marlborough Hospital","Y","5990224","UMass Memorial Health Care, Inc.",4272,NA,NA,68
"6141355",220080,"Holy Family Hospital and Medical Center","Y","5990141","Steward Health Care System, LLC",10033,NA,NA,70
"6141395",220090,"Milford Regional Medical Center",NA,NA,NA,7825,NA,NA,71
"6141410",220108,"Milton Hospital","Y","227347687ma","CareGroup (MA)",4204,NA,NA,71
"6141430",220177,"Nantucket Cottage Hospital","Y","5991785","Partners HealthCare System, Inc.",706,"Y","Partners HealthCare",78
"6141500",220029,"Anna Jaques Hospital",NA,NA,NA,7113,NA,NA,74
"6141530",220101,"Newton-Wellesley Hospital","Y","5991785","Partners HealthCare System, Inc.",17402,"Y","Partners HealthCare",75
"6141560",220051,"North Adams Regional Hospital",NA,NA,NA,2602,NA,NA,74
"6141570",220015,"Cooley Dickinson Hospital",NA,NA,NA,8177,"Y","Partners HealthCare",69
"6141630",220126,"Norwood Hospital","Y","5990141","Steward Health Care System, LLC",12578,NA,NA,69
"6141640",221300,"Martha's Vineyard Hospital","Y","5991785","Partners HealthCare System, Inc.",1215,"Y","Partners HealthCare",76
"6141660",220030,"Wing Memorial Hospital and Medical Centers","Y","5990224","UMass Memorial Health Care, Inc.",3734,NA,NA,70
"6141705",220046,"Berkshire Medical Center","Y","5992435","Berkshire Health Systems, Inc.",11883,NA,NA,72
"6141720",220060,"Jordan Hospital","Y","227347687ma","CareGroup (MA)",10567,NA,NA,72
"6141740",220067,"Quincy Medical Center","Y","5990141","Steward Health Care System, LLC",6531,NA,NA,70
"6141890",220019,"Harrington Memorial Hospital",NA,NA,NA,4488,NA,NA,73
"6141900",220100,"South Shore Hospital",NA,NA,NA,23070,NA,NA,69
"6141940",220066,"Mercy Medical Center","Y","5990136","Catholic Health East",15363,"N","Trinity Health",62
"6141955",220077,"Baystate Medical Center","Y","5991095","Baystate Health, Inc.",32716,NA,NA,71
"6142000",220073,"Morton Hospital and Medical Center","Y","5990141","Steward Health Care System, LLC",7547,NA,NA,69
"6142100",220050,"Baystate Mary Lane Hospital","Y","5991095","Baystate Health, Inc.",1134,NA,NA,76
"6142200",220065,"Noble Hospital",NA,NA,NA,3454,NA,NA,71
"6142280",220105,"Winchester Hospital",NA,NA,NA,13429,NA,NA,70
"6142350",220176,"Saint Vincent Hospital","Y","5990193","Vanguard Health System",17609,"Y","Tenet Healthcare",66
"6150001",410001,"Memorial Hospital of Rhode Island",NA,NA,NA,6449,NA,NA,69
"6150080",410006,"Newport Hospital","Y","5990060","Lifespan Corporation",4903,"Y","Lifespan",71
"6150091",410005,"St. Joseph Health Services of Rhode Island",NA,NA,NA,8226,NA,NA,71
"6150130",410012,"Miriam Hospital","Y","5990060","Lifespan Corporation",14614,"Y","Lifespan",71
"6150140",410010,"Women & Infants Hospital of Rhode Island","Y","5990099","Care New England Health System",13289,NA,NA,74
"6150150",410007,"Rhode Island Hospital","Y","5990060","Lifespan Corporation",35140,"Y","Lifespan",64
"6150160",410004,"Roger Williams Medical Center",NA,NA,NA,7608,NA,NA,71
"6150200",410008,"South County Hospital",NA,NA,NA,4844,NA,NA,75
"6150205",410011,"Landmark Medical Center",NA,NA,NA,6630,NA,NA,65
"6150215",410009,"Kent County Memorial Hospital","Y","5990099","Care New England Health System",14598,NA,NA,69
"6150220",410013,"Westerly Hospital",NA,NA,NA,4106,"Y","Yale New Haven Health",73
"6160001",70017,"MidState Medical Center","Y","5990541","Hartford Healthcare",9198,NA,NA,75
"6160002",70010,"Bridgeport Hospital","Y","5990157","Yale New Haven Health System",16996,"Y","Yale New Haven Health",70
"6160003",70025,"Hartford Hospital","Y","5990541","Hartford Healthcare",36841,NA,NA,67
"6160004",70002,"Saint Francis Hospital and Medical Center","Y","5990318","Saint Francis Care, Inc.",29113,"N","Trinity Health",68
"6160009",70006,"Stamford Hospital",NA,NA,NA,13431,NA,NA,72
"6160010",70028,"St. Vincent's Medical Center","Y","5990198","Ascension Health",21019,"Y","Ascension",67
"6160013",70035,"The Hospital of Central Connecticut","Y","5990541","Hartford Healthcare",18792,NA,NA,69
"6160070",70029,"Bristol Hospital",NA,NA,NA,6684,NA,NA,66
"6160100",70033,"Danbury Hospital","Y","5990811","Western Connecticut Healthcare, Inc.",18887,NA,NA,70
"6160120",70031,"Griffin Hospital",NA,NA,NA,6850,NA,NA,71
"6160160",70018,"Greenwich Hospital","Y","5990157","Yale New Haven Health System",11234,"Y","Yale New Haven Health",73
"6160215",70036,"University of Connecticut Health Center, John Dempsey Hospital",NA,NA,NA,8653,NA,NA,64
"6160219",70040,"The Hospital at Hebrew Health Care",NA,NA,NA,1060,NA,NA,58
"6160280",70027,"Manchester Memorial Hospital","Y","5990270","Eastern Connecticut Health Network",8079,NA,NA,69
"6160340",70020,"Middlesex Hospital",NA,NA,NA,12762,NA,NA,73
"6160350",70019,"Milford Hospital",NA,NA,NA,3903,NA,NA,75
"6160400",70022,"Yale-New Haven Hospital","Y","5990157","Yale New Haven Health System",53032,"Y","Yale New Haven Health",70
"6160410",70001,"Hospital of Saint Raphael",NA,NA,NA,24540,NA,NA,69
"6160480",70007,"Lawrence & Memorial Hospital",NA,NA,NA,13723,"Y","Yale New Haven Health",69
"6160500",70015,"New Milford Hospital","Y","5990811","Western Connecticut Healthcare, Inc.",2251,NA,NA,76
"6160530",70034,"Norwalk Hospital",NA,NA,NA,11223,NA,NA,70
"6160560",70024,"The William W. Backus Hospital",NA,NA,NA,11050,NA,NA,66
"6160580",70003,"Day Kimball Hospital",NA,NA,NA,4621,NA,NA,68
"6160590",70012,"Rockville General Hospital","Y","5990270","Eastern Connecticut Health Network",2461,NA,NA,72
"6160610",70004,"Sharon Hospital","Y","5990622","RegionalCare Hospital Partners",3380,NA,NA,67
"6160650",70008,"Johnson Memorial Hospital",NA,NA,NA,3035,"N","Trinity Health",68
"6160710",70011,"The Charlotte Hungerford Hospital",NA,NA,NA,6145,NA,NA,66
"6160727",70039,"Masonicare Health Center",NA,NA,NA,5477,NA,NA,59
"6160740",70016,"Saint Mary's Hospital",NA,NA,NA,12203,"N","Trinity Health",70
"6160750",70005,"Waterbury Hospital",NA,NA,NA,12331,NA,NA,70
"6160810",70021,"Windham Hospital","Y","5990541","Hartford Healthcare",4659,NA,NA,69
"6210001",330136,"Bassett Medical Center","Y","5990528","Bassett Healthcare Network",9129,NA,NA,66
"6210007",330079,"Adirondack Medical Center","Y","5990585","HealthTech Management Services",2820,NA,NA,74
"6210009",330103,"Olean General Hospital","Y","5990816","Upper Allegheny Health System",6923,NA,NA,69
"6210013",330044,"Faxton-St. Luke's Healthcare",NA,NA,NA,15541,NA,NA,66
"6210020",330232,"St. Mary's Hospital","Y","5990136","Catholic Health East",6794,"N","Trinity Health",69
"6210024",330101,"New York-Presbyterian Hospital","Y","5990142","New York Presbyterian Healthcare System",105339,"Y","NewYork-Presbyterian",66
"6210025",330028,"Richmond University Medical Center",NA,NA,NA,18527,NA,NA,60
"6210030",330013,"Albany Medical Center",NA,NA,NA,32169,NA,NA,63
"6210033",330073,"United Memorial Medical Center",NA,NA,NA,4569,NA,NA,67
"6210034",330399,"St. Barnabas Hospital",NA,NA,NA,21138,NA,NA,59
"6210037",330264,"St. Luke's Cornwall Hospital",NA,NA,NA,11411,"Y","Montefiore Health System",64
"6210039",330208,"St. John's Riverside Hospital",NA,NA,NA,19778,NA,NA,67
"6210041",330126,"Orange Regional Medical Center",NA,NA,NA,20412,NA,NA,59
"6210050",330003,"Albany Memorial Hospital","Y","5990136","Catholic Health East",5783,"N","Trinity Health",68
"6210070",330057,"St. Peter's Hospital","Y","5990136","Catholic Health East",22765,"N","Trinity Health",64
"6210120",331309,"River Hospital",NA,NA,NA,552,NA,NA,83
"6210170",330047,"St. Mary's Healthcare","Y","5990198","Ascension Health",6556,"Y","Ascension",73
"6210180",330235,"Auburn Community Hospital",NA,NA,NA,5139,NA,NA,63
"6210250",330144,"Ira Davenport Memorial Hospital","Y","5990809","Arnot Health",2119,NA,NA,66
"6210263",330163,"Eastern Niagara Health System",NA,NA,NA,7513,NA,NA,63
"6210280",330043,"Southside Hospital","Y","5990062","North Shore-Long Island Jewish Health System",17204,"Y","Northwell Health",67
"6210295",330067,"Saint Francis Hospital and Health Centers",NA,NA,NA,8655,NA,NA,67
"6210335",330332,"St. Joseph Hospital",NA,NA,NA,7131,NA,NA,64
"6210370",330011,"Our Lady of Lourdes Memorial Hospital","Y","5990198","Ascension Health",10192,"Y","Ascension",69
"6210390",330037,"Lakeside Memorial Hospital",NA,NA,NA,2376,NA,NA,68
"6210395",330385,"North Central Bronx Hospital","Y","5993075","New York City Health and Hospitals Corporation",7442,NA,NA,61
"6210397",330316,"New York Westchester Square Medical Center","Y","5990142","New York Presbyterian Healthcare System",5789,NA,NA,68
"6210400",330061,"Lawrence Hospital Center",NA,NA,NA,11328,NA,NA,68
"6210440",330233,"Brookdale Hospital Medical Center",NA,NA,NA,19251,NA,NA,54
"6210545",330056,"Brooklyn Hospital Center","Y","5990142","New York Presbyterian Healthcare System",16546,NA,NA,53
"6210555",330236,"New York Methodist Hospital","Y","5990142","New York Presbyterian Healthcare System",33859,"Y","NewYork-Presbyterian",57
"6210570",330196,"Coney Island Hospital","Y","5993075","New York City Health and Hospitals Corporation",17917,NA,NA,62
"6210665",330397,"Interfaith Medical Center",NA,NA,NA,10308,NA,NA,51
"6210680",330201,"Kingsbrook Jewish Medical Center",NA,NA,NA,11824,NA,NA,58
"6210690",330202,"Kings County Hospital Center","Y","5993075","New York City Health and Hospitals Corporation",25101,NA,NA,60
"6210740",330019,"New York Community Hospital","Y","5990142","New York Presbyterian Healthcare System",5209,NA,NA,67
"6210747",330194,"Maimonides Medical Center",NA,NA,NA,38565,NA,NA,57
"6210770",330306,"Lutheran Medical Center",NA,NA,NA,24111,NA,NA,63
"6210870",330350,"SUNY Downstate Medical Center University Hospital of Brooklyn",NA,NA,NA,17544,NA,NA,63
"6210965",330396,"Woodhull Medical and Mental Health Center","Y","5993075","New York City Health and Hospitals Corporation",15809,NA,NA,57
"6210970",330221,"Wyckoff Heights Medical Center",NA,NA,NA,17253,NA,NA,48
"6211000",330078,"Sisters of Charity Hospital of Buffalo","Y","5990234","Catholic Health System",18031,NA,NA,68
"6211025",330005,"KALEIDA Health",NA,NA,NA,63536,NA,NA,64
"6211070",330219,"Erie County Medical Center",NA,NA,NA,15955,NA,NA,61
"6211100",330279,"Mercy Hospital","Y","5990234","Catholic Health System",18769,NA,NA,66
"6211180",330074,"F. F. Thompson Hospital","Y","5990223","University of Rochester Medical Center",4878,"N","University of Rochester Medical Center",68
"6211185",330197,"Canton-Potsdam Hospital",NA,NA,NA,4416,NA,NA,66
"6211200",330273,"Putnam Hospital Center","Y","5990307","Health Quest Systems, Inc.",7016,NA,NA,76
"6211205",330263,"Carthage Area Hospital",NA,NA,NA,1551,NA,NA,69
"6211225",330094,"Columbia Memorial Hospital",NA,NA,NA,6497,NA,NA,68
"6211290",330265,"Clifton Springs Hospital and Clinic",NA,NA,NA,3687,NA,NA,70
"6211295",330268,"Cobleskill Regional Hospital","Y","5990528","Bassett Healthcare Network",826,NA,NA,72
"6211350",330277,"Corning Hospital","Y","5990675","Guthrie Healthcare System",4336,NA,NA,70
"6211370",330175,"Cortland Regional Medical Center",NA,NA,NA,5408,NA,NA,69
"6211430",330238,"Nicholas H. Noyes Memorial Hospital",NA,NA,NA,2467,"N","University of Rochester Medical Center",72
"6211450",331305,"O'Connor Hospital","Y","5990528","Bassett Healthcare Network",434,NA,NA,77
"6211470",330229,"Brooks Memorial Hospital",NA,NA,NA,2682,NA,NA,63
"6211510",330090,"Arnot Ogden Medical Center","Y","5990809","Arnot Health",11143,NA,NA,71
"6211540",330108,"St. Joseph's Hospital","Y","5990809","Arnot Health",4936,NA,NA,60
"6211545",330394,"United Health Services Hospitals-Binghamton","Y","5990288","United Health Services",16672,NA,NA,63
"6211570",330395,"St. John's Episcopal Hospital-South Shore",NA,NA,NA,10104,NA,NA,62
"6211595",330055,"New York Hospital Queens","Y","5990142","New York Presbyterian Healthcare System",36086,"Y","NewYork-Presbyterian",60
"6211600",330193,"Flushing Hospital Medical Center",NA,NA,NA,16604,NA,NA,56
"6211614",330353,"Forest Hills Hospital","Y","5990062","North Shore-Long Island Jewish Health System",16738,NA,NA,59
"6211650",330058,"Geneva General Hospital","Y","5990397","Finger Lakes Health",4084,NA,NA,71
"6211660",330181,"Glen Cove Hospital","Y","5990062","North Shore-Long Island Jewish Health System",9490,"Y","Northwell Health",74
"6211670",330191,"Glens Falls Hospital",NA,NA,NA,17136,NA,NA,66
"6211680",330195,"Long Island Jewish Medical Center","Y","5990062","North Shore-Long Island Jewish Health System",46094,"Y","Northwell Health",62
"6211690",330276,"Nathan Littauer Hospital and Nursing Home",NA,NA,NA,3611,NA,NA,71
"6211720",330177,"Edward John Noble Hospital of Gouverneur",NA,NA,NA,1258,NA,NA,51
"6211770",330088,"Eastern Long Island Hospital",NA,NA,NA,3024,NA,NA,73
"6211775",330249,"Community Memorial Hospital",NA,NA,NA,1825,NA,NA,72
"6211810",330027,"Nassau University Medical Center",NA,NA,NA,23531,NA,NA,54
"6211860",330151,"St. James Mercy Health System","Y","5990136","Catholic Health East",4805,"N","University of Rochester Medical Center",67
"6211880",330045,"Huntington Hospital","Y","5990062","North Shore-Long Island Jewish Health System",16520,"Y","Northwell Health",71
"6211960",330307,"Cayuga Medical Center at Ithaca",NA,NA,NA,6325,NA,NA,74
"6211980",330014,"Jamaica Hospital Medical Center",NA,NA,NA,22674,NA,NA,49
"6212010",330231,"Queens Hospital Center","Y","5993075","New York City Health and Hospitals Corporation",15669,NA,NA,59
"6212040",330239,"Woman's Christian Association Hospital",NA,NA,NA,7400,"Y","UPMC",65
"6212105",330102,"Kenmore Mercy Hospital","Y","5990234","Catholic Health System",8418,NA,NA,74
"6212130",330224,"Benedictine Hospital","Y","5990534","HealthAlliance of the Hudson Valley",4323,NA,NA,72
"6212140",330004,"Kingston Hospital","Y","5990534","HealthAlliance of the Hudson Valley",9751,NA,NA,59
"6212206",330386,"Catskill Regional Medical Center",NA,NA,NA,5825,NA,NA,60
"6212230",331311,"Little Falls Hospital","Y","5990528","Bassett Healthcare Network",2323,NA,NA,68
"6212270",330225,"Long Beach Medical Center",NA,NA,NA,5300,NA,NA,58
"6212320",330213,"Lewis County General Hospital",NA,NA,NA,1690,NA,NA,69
"6212350",330084,"Alice Hyde Medical Center",NA,NA,NA,3073,NA,NA,68
"6212357",330106,"North Shore University Hospital","Y","5990062","North Shore-Long Island Jewish Health System",48787,"Y","Northwell Health",59
"6212370",331304,"Margaretville Hospital","Y","5990534","HealthAlliance of the Hudson Valley",427,NA,NA,68
"6212380",330223,"Massena Memorial Hospital",NA,NA,NA,2677,NA,NA,67
"6212390",330053,"Medina Memorial Hospital",NA,NA,NA,2697,NA,NA,67
"6212450",330167,"Winthrop-University Hospital",NA,NA,NA,33213,NA,NA,69
"6212490",331313,"Schuyler Hospital",NA,NA,NA,1196,NA,NA,70
"6212500",330162,"Northern Westchester Hospital",NA,NA,NA,10120,"Y","Northwell Health",75
"6212530",330086,"Mount Vernon Hospital","Y","5990358","Sound Shore Health System",4106,"Y","Montefiore Health System",66
"6212565",330030,"Newark-Wayne Community Hospital","Y","5990046","Rochester General Health System",4194,NA,NA,69
"6212600",330184,"Sound Shore Medical Center of Westchester","Y","5990358","Sound Shore Health System",9795,"Y","Montefiore Health System",62
"6212615",330064,"New York Downtown Hospital",NA,NA,NA,5181,NA,NA,46
"6212630",330204,"Bellevue Hospital Center","Y","5993075","New York City Health and Hospitals Corporation",29575,NA,NA,57
"6212655",330169,"Beth Israel Medical Center","Y","5990127","Continuum Health Partners",55519,NA,NA,60
"6212675",330009,"Bronx-Lebanon Hospital Center Health Care System",NA,NA,NA,28820,NA,NA,52
"6212700",330127,"Jacobi Medical Center","Y","5993075","New York City Health and Hospitals Corporation",20083,NA,NA,65
"6212830",330240,"Harlem Hospital Center","Y","5993075","New York City Health and Hospitals Corporation",11986,NA,NA,60
"6212900",330270,"Hospital for Special Surgery","Y","5990142","New York Presbyterian Healthcare System",13457,NA,NA,77
"6212925",330214,"NYU Langone Medical Center",NA,NA,NA,37929,NA,NA,66
"6212990",330119,"Lenox Hill Hospital","Y","5990062","North Shore-Long Island Jewish Health System",29222,"Y","Northwell Health",64
"6213010",330080,"Lincoln Medical and Mental Health Center","Y","5993075","New York City Health and Hospitals Corporation",23456,NA,NA,62
"6213070",330199,"Metropolitan Hospital Center","Y","5993075","New York City Health and Hospitals Corporation",13542,NA,NA,56
"6213100",330059,"Montefiore Medical Center",NA,NA,NA,83480,"Y","Montefiore Health System",65
"6213140",330024,"Mount Sinai Hospital",NA,NA,NA,52910,NA,NA,68
"6213180",330128,"Elmhurst Hospital Center","Y","5993075","New York City Health and Hospitals Corporation",25563,NA,NA,55
"6213190",330100,"New York Eye and Ear Infirmary","Y","5990127","Continuum Health Partners",823,NA,NA,67
"6213335",330046,"St. Luke's-Roosevelt Hospital Center","Y","5990127","Continuum Health Partners",44109,NA,NA,61
"6213660",330188,"Mount St. Mary's Hospital and Health Center","Y","5990198","Ascension Health",6493,NA,NA,68
"6213670",330065,"Niagara Falls Memorial Medical Center",NA,NA,NA,9466,NA,NA,61
"6213710",330033,"Chenango Memorial Hospital","Y","5990288","United Health Services",2389,NA,NA,64
