"Year","AHA ID","Medicare Provider ID","Hospital Name","Address 1 (physical)","City Name (physical)","State (physical)","Zip code (physical)","NPI number","Control / Ownership Type","Beginning of reporting period","Days open during reporting period","End of reporting period","Open 12 full months before end of reporting period","System member","System ID","System Name","System City","System State","System Zip","Admissions (est.)","Admissions",
"2016","6040070","400010","Castaner General Hospital","KM 64-2, Route 135","Castaner","Puerto Rico","00631","","Nongovt. (not-for-profit) - Other","","0","","","","","","","","","Estimated","577",
"2016","6040080","400013","Hospital Menonita De Cayey","4 H Mendoza Street","Cayey","Puerto Rico","00736-3801","","Nongovt. (not-for-profit) - Other","1/1/2016","366","12/31/2016","Y","","","","","","","Reported","11089",
"2016","6040090","400106","Hospital Metropolitan","1785 Carr 21","San Juan","Puerto Rico","00921-3399","1275580763","Investor-owned; for-profit - Corporation","","0","","","","","","","","","Estimated","6003",
"2016","6040110","400125","Hospital San Pablo Del Este","Avenida General Valero, 404","Fajardo","Puerto Rico","00738","1750316006","Investor-owned; for-profit - Corporation","1/1/2016","366","12/31/2016","Y","","","","","","","Reported","3157",
"2016","6040115","400102","Doctor's Center of Bayamon","Extension Hermanas Davila","Bayamon","Puerto Rico","00960","","Investor-owned; for-profit - Corporation","","0","","","","","","","","","Estimated","5349",
"2016","6040129","403026","HEALTHSOUTH Hospital of Manati","Carretera 2, Kilometro 47 7","Manati","Puerto Rico","00674","","Investor-owned; for-profit - Corporation","","0","","","Y","5990023","HEALTHSOUTH Corporation","Birmingham","AL","35243-3332","Estimated","1013",
"2016","6040145","400048","Hospital Episcopal San Lucas Guayama","Avenue Pedro Albizu Campos","Guayama","Puerto Rico","00784","","Nongovt. (not-for-profit) - Church Operated","1/1/2016","366","12/31/2016","Y","","","","","","","Reported","5443",
"2016","6040155","400016","Auxilio Mutuo Hospital","Ponce De Leon Avenue","San Juan","Puerto Rico","00918-1000","","Nongovt. (not-for-profit) - Other","","0","","","","","","","","","Estimated","21835",
"2016","6040157","400004","Hospital Del Maestro","550 Sergio Cuevas","San Juan","Puerto Rico","00918-3741","","Investor-owned; for-profit - Corporation","","0","","","","","","","","","Estimated","8489",
"2016","6040160","400011","Hospital Oriente","300 Font Martelo Street","Humacao","Puerto Rico","00791-3230","","Investor-owned; for-profit - Corporation","","0","","","","","","","","","Estimated","3059",
"2016","6040165","400005","Hospital HIMA de Humacao","3 Font Martelo Street","Humacao","Puerto Rico","00791-3342","","Investor-owned; for-profit - Corporation","1/1/2016","366","12/31/2016","Y","","","","","","","Reported","2217",
"2016","6040170","400007","Ryder Memorial Hospital","355 Font Martelo Street","Humacao","Puerto Rico","00791-3249","","Nongovt. (not-for-profit) - Other","1/1/2016","366","12/31/2016","Y","","","","","","","Reported","6606",
"2016","6040175","400110","Hospital Pavia Yauco","Carretera 128 KM 1.0","Yauco","Puerto Rico","00698","","Investor-owned; for-profit - Corporation","1/1/2016","366","12/31/2016","Y","","","","","","","Reported","5466",
"2016","6040192","400018","Mennonite General Hospital","Calle Jose C Vasquez","Aibonito","Puerto Rico","00705","1851320394","Nongovt. (not-for-profit) - Other","","0","","","","","","","","","Estimated","7759",
"2016","6040215","400123","Hospital Perea","15 Basora Street","Mayaguez","Puerto Rico","00681","","Investor-owned; for-profit - Corporation","","0","","","Y","5999605","United Medical Corporation","Windermere","FL","34786-3548","Estimated","6062",
"2016","6040220","400014","Bella Vista Hospital","State Road 349","Mayaguez","Puerto Rico","00680","","Nongovt. (not-for-profit) - Church Operated","","0","","","","","","","","","Estimated","6333",
"2016","6040230","400003","Dr. Pila's Hospital","Avenida Las Americas","Ponce","Puerto Rico","00731","","Nongovt. (not-for-profit) - Other","","0","","","","","","","","","Estimated","5884",
"2016","6040250","400022","Hospital De Damas","2213 Ponce Bypass","Ponce","Puerto Rico","00717","1730159286","Nongovt. (not-for-profit) - Other","1/1/2016","366","12/31/2016","Y","","","","","","","Reported","9855",
"2016","6040260","400044","St. Luke's Episcopal Hospital","917 Tito Castro Avenue","Ponce","Puerto Rico","00731-4717","1841295557","Nongovt. (not-for-profit) - Church Operated","","0","","","","","","","","","Estimated","14650",
"2016","6040290","400103","Dr. Ramon E. Betances Hospital-Mayaguez Medical Center Branch","410 Hostos Avenue","Mayaguez","Puerto Rico","00680-1501","","Investor-owned; for-profit - Corporation","1/1/2016","366","12/31/2016","Y","","","","","","","Reported","9258",
"2016","6040294","400105","Hospital Universitario Dr. Ramon Ruiz Arnau","Avenue Laurel #100, Santa Juanita","Bayamon","Puerto Rico","00956","","Govt. (non federal) - State","","0","","","Y","5990011","Puerto Rico Department of Health","San Juan","PR","00936","Estimated","2466",
"2016","6040300","404006","Hospital de Psiquiatria","Dr. Ramon Fernandez Marina, P O Box 2100","San Juan","Puerto Rico","00936","","Govt. (non federal) - State","7/1/2015","366","6/30/2016","Y","","","","","","","Reported","525",
"2016","6040325","400118","Doctors Center","KM 47-7","Manati","Puerto Rico","00674","","Investor-owned; for-profit - Corporation","","0","","","","","","","","","Estimated","14179",
"2016","6040345","400021","Hospital De La Concepcion","Carr 2, Km 173, Bo Cain Alto","San German","Puerto Rico","00683-3920","","Nongovt. (not-for-profit) - Church Operated","1/1/2016","366","12/31/2016","Y","","","","","","","Reported","7620",
"2016","6040349","404008","INSPIRA Ponce","Calle Guadalupe, #184, Piso2","Ponce","Puerto Rico","00730","","Investor-owned; for-profit - Corporation","","0","","","","","","","","","Estimated","844",
"2016","6040369","404007","Hospital Psiquiatrico Metropolitano","108 Munoz Rivera Street","Cabo Rojo","Puerto Rico","00623-4060","1407800469","Investor-owned; for-profit - Corporation","1/1/2016","366","12/31/2016","Y","","","","","","","Reported","1208",
"2016","6040370","400001","Ashford Presbyterian Community Hospital","1451 Avenue Ashford","San Juan","Puerto Rico","00907-1511","1770580813","Nongovt. (not-for-profit) - Other","7/1/2015","366","6/30/2016","Y","","","","","","","Reported","9230",
"2016","6040377","400015","San Juan City Hospital","Puerto Rico Medical Center","San Juan","Puerto Rico","00928","","Govt. (non federal) - City","","0","","","","","","","","","Estimated","6588",
"2016","6040382","400130","Metropolitano De La Montana","Calle Issac Gonzalez Martinez","Utuado","Puerto Rico","00641","","Investor-owned; for-profit - Corporation","","0","","","","","","","","","Estimated","795",
"2016","6040391","400104","Hospital Menonita De Caguas","P.O. Box 6660","Caguas","Puerto Rico","00726-6660","","Nongovt. (not-for-profit) - Other","","0","","","","","","","","","Estimated","790",
"2016","6040395","400121","Hospital San Gerardo","138 Avenue Winston Churchill","San Juan","Puerto Rico","00926-6013","","Nongovt. (not-for-profit) - Other","","0","","","","","","","","","Estimated","2197",
"2016","6040396","018487","Hospital San Antonio","Calle Dr Ramon Emeterio Betances N #18","Mayaguez","Puerto Rico","00680","","Nongovt. (not-for-profit) - Other","","0","","","","","","","","","Estimated","790",
"2016","6040397","","Hospital de Psiquiatria Forense","Road 14","Ponce","Puerto Rico","00731","","Govt. (non federal) - State","","0","","","","","","","","","Estimated","703",
"2016","6040400","","Veterans Affairs Caribbean Healthcare System","10 Casia Street","San Juan","Puerto Rico","00921-3201","","Govt. (federal) - Veterans' Affairs","10/1/2015","366","9/30/2016","Y","Y","5999295","Department of Veterans Affairs","Washington","DC","20420-0001","Reported","10046",
"2016","6040405","404005","San Juan Capestrano Hospital","Rural Route 2, Box 11","San Juan","Puerto Rico","00926","1144293705","Investor-owned; for-profit - Corporation","1/1/2016","366","12/31/2016","Y","Y","5990091","Acadia Healthcare Company, Inc.","Franklin","TN","37067-7323","Reported","6260",
"2016","6040420","400006","Doctors' Center Hospital San Juan","1395 San Rafael Street","San Juan","Puerto Rico","00909-2518","","Investor-owned; for-profit - Corporation","1/1/2016","366","12/31/2016","Y","","","","","","","Reported","5356",
"2016","6040425","400112","Hospital de la Universidad de Puerto Rico/Dr. Federico Trilla","65th Infanteria, KM 8 3","Carolina","Puerto Rico","00984","1023107182","Investor-owned; for-profit - Corporation","","0","","","","","","","","","Estimated","10387",
"2016","6040432","400128","Hospital Pavia-Hato Rey","435 Ponce De Leon Avenue","San Juan","Puerto Rico","00917-3428","","Investor-owned; for-profit - Corporation","","0","","","Y","5999605","United Medical Corporation","Windermere","FL","34786-3548","Estimated","6210",
"2016","6040435","400019","Hospital Pavia-Santurce","1462 Asia Street","San Juan","Puerto Rico","00909-2143","1467417865","Investor-owned; for-profit - Corporation","","0","","","Y","5999605","United Medical Corporation","Windermere","FL","34786-3548","Estimated","8533",
"2016","6040444","","San Jorge Children's Hospital","252 San Jorge Street, Santurce","San Juan","Puerto Rico","00912-3310","","Investor-owned; for-profit - Corporation","1/1/2016","366","12/31/2016","Y","Y","5999605","United Medical Corporation","Windermere","FL","34786-3548","Reported","7159",
"2016","6040445","400012","I. Gonzalez Martinez Oncologic Hospital","Puerto Rico Medical Center","Hato Rey","Puerto Rico","00935","","Nongovt. (not-for-profit) - Other","","0","","","","","","","","","Estimated","1383",
"2016","6040448","","Industrial Hospital","Puerto Rico Medical Center","San Juan","Puerto Rico","00936","1790902641","Govt. (non federal) - State","","0","","","","","","","","","Estimated","2639",
"2016","6040475","404004","First Hospital Panamericano","State Road 787 KM 1 5","Cidra","Puerto Rico","00739","","Investor-owned; for-profit - Corporation","","0","","","Y","5999555","Universal Health Services, Inc.","King of Prussia","PA","19406-3121","Estimated","4302",
"2016","6040500","403301","University Pediatric Hospital","Barrio Monacenno, Carretera 22","Rio Piedras","Puerto Rico","00935","","Govt. (non federal) - State","","0","","","Y","5990011","Puerto Rico Department of Health","San Juan","PR","00936","Estimated","4116",
"2016","6048006","400131","Caribbean Medical Center","151 Avenue Osvaldo Molina","Fajardo","Puerto Rico","00738-4013","","Nongovt. (not-for-profit) - Other","","0","","","","","","","","","Estimated","2166",
"2016","6048007","404009","Centro De Salud Conductual Menonita-CIMA","Carretera Estatal 14 Interior","Aibonito","Puerto Rico","00705","1093942617","Nongovt. (not-for-profit) - Other","","0","","","","","","","","","Estimated","562",
"2016","6048008","","Hospital Psiquiatrico Correccional","PMB 302 P O Box 70344","San Juan","Puerto Rico","00936","","Govt. (non federal) - State","","0","","","","","","","","","Estimated","549",
"2016","6048009","400127","Hospital Cuidado Agudo Especializado En Pacientes Politraumatizados","Carr. Num. 22 BO. Monacillos, Centro Medico","San Juan","Puerto Rico","00922-2129","","Nongovt. (not-for-profit) - Other","","0","","","","","","","","","Estimated","790",
"2016","6050010","480001","Schneider Regional Medical Center","9048 Sugar Estate, Charlotte Amalie","Saint Thomas","Virgin Islands","00802","","Govt. (non federal) - Hospital district","10/1/2015","366","9/30/2016","Y","","","","","","","Reported","3713",
"2016","6050015","480002","Governor Juan F. Luis Hospital","4007 Estate Diamond Ruby","Christiansted","Virgin Islands","00820-4421","","Govt. (non federal) - State","","0","","","","","","","","","Estimated","5060",
"2016","6060015","650001","Guam Memorial Hospital Authority","850 Governor Carlos G Camacho Road","Tamuning","Guam","96913","","Govt. (non federal) - Hospital district","","0","","","","","","","","","Estimated","3189",
"2016","6060020","","U. S. Naval Hospital Guam","Building #50 Farenholt Avenue","Agana","Guam","96910","","Govt. (federal) - Navy","","0","","","Y","5999655","Bureau of Medicine and Surgery, Department of the Navy","Falls Church","VA","22042","Estimated","3381",
"2016","6060346","","Guam Regional Medical City","133 Route 3","Dededo","Guam","96932","","Investor-owned; for-profit - Corporation","","0","","","","","","","","","Estimated","5222",
"2016","6070010","640001","Lyndon B. Johnson Tropical Medical Center","Faga'alu Village","Pago Pago","American Samoa","96799","","Govt. (non federal) - State","","0","","","","","","","","","Estimated","3833",
"2016","6080001","660001","Commonwealth Health Center","Navy Hill Road","Saipan","Northern Mariana Islands","96950","","Investor-owned; for-profit - Corporation","","0","","","","","","","","","Estimated","2726",
"2016","6110002","204006","Acadia Hospital","268 Stillwater Avenue","Bangor","ME","04401-3945","1215940523","Nongovt. (not-for-profit) - Other","9/27/2015","366","9/24/2016","Y","Y","5990555","Eastern Maine Healthcare Systems","Brewer","ME","04412-1005","Reported","1399",
"2016","6110003","200021","Mid Coast Hospital","123 Medical Center Drive","Brunswick","ME","04011-2652","1932164795","Nongovt. (not-for-profit) - Other","10/1/2015","366","9/30/2016","Y","","","","","","","Reported","4911",
"2016","6110008","200008","Mercy Hospital of Portland","144 State Street","Portland","ME","04101-3795","1629078712","Nongovt. (not-for-profit) - Other","10/1/2015","366","9/30/2016","Y","Y","5990555","Eastern Maine Healthcare Systems","Brewer","ME","04412-1005","Reported","5166",
"2016","6110020","204007","Riverview Psychiatric Center","250 Arsenal Street","Augusta","ME","04330-5742","1053319566","Govt. (non federal) - State","","0","","","","","","","","","Estimated","230",
"2016","6110040","204004","Dorothea Dix Psychiatric Center","656 State Street","Bangor","ME","04401-5609","","Govt. (non federal) - State","","0","","","","","","","","","Estimated","128",
"2016","6110050","200033","Eastern Maine Medical Center","489 State Street","Bangor","ME","04401-6674","1790789147","Nongovt. (not-for-profit) - Other","9/27/2015","366","9/26/2016","Y","Y","5990555","Eastern Maine Healthcare Systems","Brewer","ME","04412-1005","Reported","18975",
"2016","6110070","200001","St. Joseph Hospital","360 Broadway","Bangor","ME","04401-3979","1154321545","Nongovt. (not-for-profit) - Church Operated","1/1/2016","366","12/31/2016","Y","Y","5995885","Covenant Health","Tewksbury","MA","01876-1240","Reported","4112",
"2016","6110090","201304","Mount Desert Island Hospital","10 Wayman Lane","Bar Harbor","ME","04609-1625","1790764512","Nongovt. (not-for-profit) - Other","5/1/2015","366","4/30/2016","Y","","","","","","","Reported","884",
"2016","6110120","201312","Waldo County General Hospital","118 Northport Avenue","Belfast","ME","04915-6072","1841397932","Nongovt. (not-for-profit) - Other","","0","","","Y","5990614","MaineHealth","Portland","ME","04101-3537","Estimated","1371",
"2016","6110150","201300","Blue Hill Memorial Hospital","57 Water Street","Blue Hill","ME","04614-5231","","Nongovt. (not-for-profit) - Other","9/27/2015","366","9/24/2016","Y","Y","5990555","Eastern Maine Healthcare Systems","Brewer","ME","04412-1005","Reported","643",
"2016","6110167","201310","Bridgton Hospital","10 Hospital Drive","Bridgton","ME","04009-1148","1154370153","Nongovt. (not-for-profit) - Other","7/1/2015","366","6/30/2016","Y","Y","5991007","Central Maine Healthcare","Lewiston","ME","04240-7027","Reported","897",
"2016","6110180","201305","Calais Regional Hospital","24 Hospital Lane","Calais","ME","04619-1398","1922001049","Nongovt. (not-for-profit) - Other","1/1/2016","366","12/31/2016","Y","Y","5990002","QHR","Brentwood","TN","37027","Reported","1136",
"2016","6110200","200031","Cary Medical Center","163 Van Buren Road, Suite 1","Caribou","ME","04736-3567","1780615492","Govt. (non federal) - City","1/1/2016","366","12/31/2016","Y","Y","5990002","QHR","Brentwood","TN","37027","Reported","1654",
"2016","6110240","201309","Mayo Regional Hospital","897 West Main Street","Dover-Foxcroft","ME","04426-1099","1558319103","Govt. (non federal) - Hospital district","10/1/2015","366","9/30/2016","Y","","","","","","","Reported","1280",
"2016","6110260","200050","Maine Coast Memorial Hospital","50 Union Street","Ellsworth","ME","04605-1599","1740249739","Nongovt. (not-for-profit) - Other","10/1/2015","366","9/30/2016","Y","Y","5990555","Eastern Maine Healthcare Systems","Brewer","ME","04412-1005","Reported","643",
"2016","6110280","200037","Franklin Memorial Hospital","111 Franklin Health Commons","Farmington","ME","04938-6144","1558305847","Nongovt. (not-for-profit) - Other","10/1/2015","366","9/30/2016","Y","","","","","","","Reported","2050",
"2016","6110290","200052","Northern Maine Medical Center","194 East Main Street","Fort Kent","ME","04743-1497","1568465144","Nongovt. (not-for-profit) - Other","10/1/2015","366","9/30/2016","Y","","","","","","","Reported","1476",
"2016","6110310","201301","Charles A. Dean Memorial Hospital","364 Pritham Avenue","Greenville","ME","04441-1395","","Nongovt. (not-for-profit) - Other","","0","","","Y","5990555","Eastern Maine Healthcare Systems","Brewer","ME","04412-1005","Estimated","243",
"2016","6110330","201308","Houlton Regional Hospital","20 Hartford Street","Houlton","ME","04730-1891","1508823741","Nongovt. (not-for-profit) - Other","10/1/2015","366","9/30/2016","Y","","","","","","","Reported","1248",
"2016","6110367","201302","LincolnHealth","35 Miles Street","Damariscotta","ME","04543-4047","","Nongovt. (not-for-profit) - Other","10/1/2015","366","9/30/2016","Y","Y","5990614","MaineHealth","Portland","ME","04101-3537","Reported","1993",
"2016","6110370","200024","Central Maine Medical Center","300 Main Street","Lewiston","ME","04240-7027","1689653487","Nongovt. (not-for-profit) - Other","7/1/2015","366","6/30/2016","Y","Y","5991007","Central Maine Healthcare","Lewiston","ME","04240-7027","Reported","10257",
"2016","6110378","200019","Southern Maine Health Care - Biddeford Medical Center","One Medical Center Drive","Biddeford","ME","04005-9496","","Nongovt. (not-for-profit) - Other","10/1/2015","366","9/30/2016","Y","","","","","","","Reported","10103",
"2016","6110380","200034","St. Mary's Regional Medical Center","93 Campus Avenue","Lewiston","ME","04240-6030","1447226584","Nongovt. (not-for-profit) - Other","1/1/2016","366","12/31/2016","Y","Y","5995885","Covenant Health","Tewksbury","MA","01876-1240","Reported","6765",
"2016","6110386","201311","Down East Community Hospital","11 Hospital Drive","Machias","ME","04654-3325","1528087004","Nongovt. (not-for-profit) - Other","1/1/2016","366","12/31/2016","Y","","","","","","","Reported","901",
"2016","6110387","201307","Millinocket Regional Hospital","200 Somerset Street","Millinocket","ME","04462-1298","1275646150","Nongovt. (not-for-profit) - Other","7/1/2015","366","6/30/2016","Y","","","","","","","Reported","621",
"2016","6110390","201315","Stephens Memorial Hospital","181 Main Street","Norway","ME","04268-5664","1346299815","Nongovt. (not-for-profit) - Other","10/1/2015","366","9/30/2016","Y","Y","5990614","MaineHealth","Portland","ME","04101-3537","Reported","1342",
"2016","6110395","201303","Penobscot Valley Hospital","7 Transalpine Road","Lincoln","ME","04457-4222","1093716086","Nongovt. (not-for-profit) - Other","","0","","","Y","5990002","QHR","Brentwood","TN","37027","Estimated","1038",
"2016","6110410","201313","Sebasticook Valley Health","447 North Main Street","Pittsfield","ME","04967-3707","1457461477","Nongovt. (not-for-profit) - Other","10/1/2015","366","9/30/2016","Y","Y","5990555","Eastern Maine Healthcare Systems","Brewer","ME","04412-1005","Reported","822",
"2016","6110430","200009","Maine Medical Center","22 Bramhall Street","Portland","ME","04102-3175","1760436216","Nongovt. (not-for-profit) - Other","10/1/2015","366","9/30/2016","Y","Y","5990614","MaineHealth","Portland","ME","04101-3537","Reported","28484",
"2016","6110435","203025","New England Rehabilitation Hospital of Portland","335 Brighton Avenue","Portland","ME","04102-2363","1194799023","Investor-owned; for-profit - Partnership","1/1/2016","366","12/31/2016","Y","Y","5990023","HEALTHSOUTH Corporation","Birmingham","AL","35243-3332","Reported","1919",
"2016","6110480","200018","Aroostook Medical Center","140 Academy Street","Presque Isle","ME","04769-3171","1396858999","Nongovt. (not-for-profit) - Other","9/27/2015","366","9/24/2016","Y","Y","5990555","Eastern Maine Healthcare Systems","Brewer","ME","04412-1005","Reported","2135",
"2016","6110505","200063","Pen Bay Medical Center","6 Glen Cove Drive","Rockport","ME","04856-4240","1982645305","Nongovt. (not-for-profit) - Other","","0","","","Y","5990614","MaineHealth","Portland","ME","04101-3537","Estimated","5711",
"2016","6110510","201306","Rumford Hospital","420 Franklin Street","Rumford","ME","04276-2145","1205991122","Nongovt. (not-for-profit) - Other","7/1/2015","366","6/30/2016","Y","Y","5991007","Central Maine Healthcare","Lewiston","ME","04240-7027","Reported","1043",
"2016","6110523","201314","Redington-Fairview General Hospital","46 Fairview Avenue","Skowhegan","ME","04976","1174549133","Nongovt. (not-for-profit) - Other","7/1/2015","366","6/30/2016","Y","","","","","","","Reported","1597",
"2016","6110540","","Maine Veterans Affairs Medical Center","1 VA Center","Augusta","ME","04330-6719","1184674509","Govt. (federal) - Veterans' Affairs","10/1/2015","366","9/30/2016","Y","Y","5999295","Department of Veterans Affairs","Washington","DC","20420-0001","Reported","2610",
"2016","6110555","200039","MaineGeneral Medical Center","35 Medical Center Parkway","Augusta","ME","04330","1669423380","Nongovt. (not-for-profit) - Other","7/1/2015","366","6/30/2016","Y","","","","","","","Reported","9634",
"2016","6110582","200041","Inland Hospital","200 Kennedy Memorial Drive","Waterville","ME","04901-4595","1376579557","Nongovt. (not-for-profit) - Other","10/1/2015","366","9/30/2016","Y","Y","5990555","Eastern Maine Healthcare Systems","Brewer","ME","04412-1005","Reported","1228",
"2016","6110605","204005","Spring Harbor Hospital","123 Andover Road","Westbrook","ME","04092-3850","1598798787","Nongovt. (not-for-profit) - Other","","0","","","Y","5990614","MaineHealth","Portland","ME","04101-3537","Estimated","2475",
"2016","6110610","200020","York Hospital","15 Hospital Drive","York","ME","03909-1099","1376528398","Nongovt. (not-for-profit) - Other","1/1/2016","366","12/31/2016","Y","","","","","","","Reported","2999",
"2016","6120001","300029","Portsmouth Regional Hospital","333 Borthwick Avenue","Portsmouth","NH","03801-7128","","Investor-owned; for-profit - Corporation","","0","","","Y","5990048","HCA Healthcare","Nashville","TN","37203-1548","Estimated","7229",
"2016","6120002","303027","HEALTHSOUTH Rehabilitation Hospital","254 Pleasant Street","Concord","NH","03301-2508","1225001936","Investor-owned; for-profit - Corporation","","0","","","Y","5990023","HEALTHSOUTH Corporation","Birmingham","AL","35243-3332","Estimated","1005",
"2016","6120010","301310","Androscoggin Valley Hospital","59 Page Hill Road","Berlin","NH","03570-3531","1386680593","Nongovt. (not-for-profit) - Other","1/1/2016","366","9/30/2016","Y","","","","","","","Expanded","1408",
"2016","6120020","301308","Valley Regional Hospital","243 Elm Street","Claremont","NH","03743-4921","1306933619","Nongovt. (not-for-profit) - Other","10/1/2015","366","9/30/2016","Y","","","","","","","Reported","628",
"2016","6120029","301300","Upper Connecticut Valley Hospital","181 Corliss Lane","Colebrook","NH","03576-3207","1861489437","Nongovt. (not-for-profit) - Other","10/1/2015","366","9/30/2016","Y","","","","","","","Reported","392",
"2016","6120030","300001","Concord Hospital","250 Pleasant Street","Concord","NH","03301-2598","1215988530","Nongovt. (not-for-profit) - Other","10/1/2015","366","9/30/2016","Y","","","","","","","Reported","13647",
"2016","6120060","304000","New Hampshire Hospital","36 Clinton Street","Concord","NH","03301-2359","1861491334","Govt. (non federal) - State","7/1/2015","366","6/30/2016","Y","","","","","","","Reported","1930",
"2016","6120080","300018","Wentworth-Douglass Hospital","789 Central Avenue","Dover","NH","03820","1033118104","Nongovt. (not-for-profit) - Other","1/1/2016","366","12/31/2016","Y","Y","5991785","Partners HealthCare System, Inc.","Boston","MA","02199-8123","Reported","7082",
"2016","6120090","300017","Parkland Medical Center","One Parkland Drive","Derry","NH","03038-2750","","Investor-owned; for-profit - Corporation","","0","","","Y","5990048","HCA Healthcare","Nashville","TN","37203-1548","Estimated","3133",
"2016","6120110","300023","Exeter Hospital","5 Alumni Drive","Exeter","NH","03833-2128","1437158433","Nongovt. (not-for-profit) - Other","10/1/2015","366","9/30/2016","Y","","","","","","","Reported","5216",
"2016","6120130","301306","Franklin Regional Hospital","15 Aiken Avenue","Franklin","NH","03235-1299","1700960895","Nongovt. (not-for-profit) - Other","10/1/2015","366","9/30/2016","Y","Y","5990320","LRGHealthcare","Laconia","NH","03246-3298","Reported","878",
"2016","6120145","304001","Hampstead Hospital","218 East Road","Hampstead","NH","03841-2305","","Investor-owned; for-profit - Corporation","","0","","","","","","","","","Estimated","1687",
"2016","6120170","300003","Dartmouth-Hitchcock Medical Center","One Medical Center Drive","Lebanon","NH","03756-0001","1023092053","Nongovt. (not-for-profit) - Other","7/1/2015","366","6/30/2016","Y","","","","","","","Reported","20743",
"2016","6120180","300019","Cheshire Medical Center","580 Court Street","Keene","NH","03431-1718","1629181516","Nongovt. (not-for-profit) - Other","7/1/2015","366","6/30/2016","Y","","","","","","","Reported","3919",
"2016","6120190","300005","Lakes Region General Hospital","80 Highland Street","Laconia","NH","03246-3298","1053495234","Nongovt. (not-for-profit) - Other","10/1/2015","366","9/30/2016","Y","Y","5990320","LRGHealthcare","Laconia","NH","03246-3298","Reported","4701",
